City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
625,Sakakah,SA,29.9697,40.2064,99.97,11,0,11.79,clear sky
626,Bari,IT,41.1177,16.8512,100.35,27,0,3.0,clear sky
627,Santa Cruz,BO,-17.8,-63.1667,75.25,20,75,20.71,broken clouds
628,Hokitika,NZ,-42.7167,170.9667,49.48,91,98,2.35,overcast clouds
629,La Asuncion,VE,11.0333,-63.8628,85.73,74,3,14.97,clear sky
630,Keti Bandar,PK,24.1447,67.4497,82.02,80,99,20.62,overcast clouds
631,Gravdal,NO,68.1214,13.5031,49.89,71,40,10.36,scattered clouds
632,Laharpur,IN,27.7167,80.9,80.4,87,82,8.75,broken clouds
633,Hvide Sande,DK,56.0045,8.1294,63.18,70,20,20.83,few clouds
634,Port-Cartier,CA,50.0334,-66.8654,68.22,54,95,11.25,overcast clouds
635,Ozinki,RU,51.1786,49.6769,81.45,40,33,8.46,scattered clouds
636,Kisangani,CD,0.5167,25.2,74.35,82,99,3.06,overcast clouds
637,Ardabil,IR,38.2498,48.2933,65.75,68,75,9.22,broken clouds
638,Reyes,BO,-14.3167,-67.3833,80.37,38,83,6.64,broken clouds
639,La Ronge,CA,55.1001,-105.2842,80.85,36,20,4.61,smoke
640,Kirakira,SB,-10.4544,161.9205,73.56,85,100,7.7,overcast clouds
641,Luganville,VU,-15.5333,167.1667,69.28,67,70,6.26,broken clouds
642,Sutton,GB,51.35,-0.2,67.35,79,40,1.99,scattered clouds
643,Chimbote,PE,-9.0853,-78.5783,69.76,69,52,11.1,broken clouds
644,Serebryansk,KZ,49.6925,83.2892,54.95,57,0,1.99,clear sky
645,Kahta,TR,37.7855,38.6237,90.77,24,57,8.28,broken clouds
646,Mattru,SL,7.6244,-11.8332,74.14,93,100,4.88,light rain
647,Karhal,IN,27.0003,78.9414,81.81,81,91,12.3,overcast clouds
648,Ribeira Brava,PT,32.65,-17.0667,77.72,74,26,4.12,scattered clouds
649,Guapiles,CR,10.2159,-83.7866,93.47,90,95,1.41,overcast clouds
650,Lesnoye,RU,58.2841,35.5158,63.54,94,39,7.47,scattered clouds
651,Amuntai,ID,-2.4177,115.2494,73.18,97,95,2.13,overcast clouds
652,Lillehammer,NO,61.1146,10.4674,58.15,62,91,7.43,overcast clouds
653,Xuddur,SO,4.1213,43.8894,75.07,70,94,19.62,overcast clouds
654,Sapouy,BF,11.5544,-1.7736,80.51,71,77,5.91,broken clouds
655,Mildura,AU,-34.2,142.15,44.56,87,40,8.05,scattered clouds
656,Qaqortoq,GL,60.7167,-46.0333,59.5,81,100,4.12,light rain
657,Havoysund,NO,70.9963,24.6622,47.28,90,100,14.05,overcast clouds
658,Marrakesh,MA,31.6315,-8.0083,93.27,22,20,8.05,few clouds
659,Wapakoneta,US,40.5678,-84.1936,76.78,66,90,5.01,overcast clouds
660,Kainantu,PG,-6.2887,145.8655,58.08,98,89,1.74,overcast clouds
661,Saint-Joseph,RE,-21.3667,55.6167,66.58,73,36,12.26,scattered clouds
662,Siteki,SZ,-26.45,31.95,60.53,39,44,3.74,scattered clouds
663,Dasoguz,TM,41.8363,59.9666,82.35,34,0,6.91,clear sky
664,Pangody,RU,65.85,74.4859,59.92,65,100,12.95,overcast clouds
665,Yola,NG,9.2,12.4833,79.3,73,98,4.47,overcast clouds
666,Pulivendla,IN,14.4167,78.2333,81.86,58,97,20.89,overcast clouds
667,Walvis Bay,NA,-22.9575,14.5053,83.35,14,0,5.75,clear sky
